"V2","Length"
"EML4",8357
"CALM2",6466
"CHAC2",1321
"RPS27A",3130
"WDPCP",11776
"VPS54",5091
"REG3G",1845
"ASXL2",13023
"ETAA1",3486
"SNRPG",1795
"ABHD1",4630
"MEIS1",10934
"TRIM43",1682
"CIAO1",4031
"ZNF514",6813
"SNRNP200",10926
"MRPS5",6719
"ANKRD53",2526
"TPRKB",2047
"NAT8",947
"EXOC6B",10197
"SFXN5",11087
"TEX261",4260
"DQX1",2940
"DUSP11",3544
"ST6GAL2",7708
"NPHP1",11763
"MALL",3167
"THNSL2",6431
"RALB",2915
"C1QL2",2043
"TMEM177",2588
"NT5DC4",4225
"RABL2A",6008
"SLC20A1",5577
"FBLN7",6578
"ZC3H8",6600
"LIPT1",2279
"CNGA3",4378
"FAHD2B",2662
"LYG1",1093
"AFF3",12737
"UBXN4",5112
"NXPH2",1052
"SPOPL",6468
"THSD7B",6761
"GPR17",2671
"POLR2D",5226
"AMMECR1L",4761
"GALNT13",6520
"PKP4",9525
"SCN1A",9312
"SLC4A10",7550
"SCRN3",4144
"KIAA1715",9122
"ZNF385B",5310
"TMEFF2",6632
"CDCA7",3934
"DLX1",3656
"UBR3",10063
"PHOSPHO2",1488
"GULP1",11979
"FAM171B",5826
"HSPD1",4245
"CCDC150",9683
"METTL21A",6798
"UNC80",19258
"PTH2R",4390
"CPO",1209
"NBEAL1",16376
"KANSL1L",8491
"SPAG16",8257
"ABCA12",9416
"SUMF1",6952
"NYAP2",4828
"RHBDD1",6926
"ACKR3",2258
"TRPM8",7903
"HES6",2037
"ESPNL",5362
"ANKMY1",11477
"COPS7B",6066
"DIS3L2",11337
"CPNE9",2335
"FANCD2",8378
"TAMM41",5925
"VGLL4",7207
"RAB5A",3785
"FAM134A",5689
"CTDSP1",4727
"RQCD1",5289
"MARCH4",4447
"STK11IP",5694
"GMPPA",5332
"GRIP2",11704
"EAF1",5152
"CNTN4",9120
"DYNC1LI1",6132
"RBMS3",10350
"GADL1",7330
"OSBPL10",11976
"POMGNT2",2668
"ACKR2",5457
"FAM198A",4411
"CSRNP1",3214
"SLC25A38",2151
"ITGA9",8277
"SLC22A14",3659
"GOLGA4",10737
"CTDSPL",5796
"STAC",4396
"IQSEC1",6882
"CAND2",5478
"RPL32",3720
"PTPRG",14633
"IL17RD",9561
"SHQ1",5841
"SLC25A26",5850
"UBA3",4106
"ARL6IP5",2522
"TMF1",6999
"LRIG1",7032
"LRTM1",1584
"RP11-977G19.10",1053
"LIMD1",12673
"ZNF660",6513
"NFKBIZ",5902
"COL8A1",9408
"NXPE3",9474
"ADGRG7",4091
"MYH15",7694
"PHLDB2",12109
"ABHD10",3021
"TAGLN3",1791
"PLA1A",2202
"RABL3",4684
"ADPRH",4615
"IGSF11",4899
"ATG3",6111
"NR1I2",5381
"BOC",10330
"SRPRB",4180
"TMEM108",8425
"AGTR1",3478
"MED12L",12619
"EIF2A",4131
"ALDH1L1",13712
"OSBPL11",4191
"TRPC1",4768
"NCEH1",4808
"SPATA16",2106
"FAM86B2",1366
"LPP",25535
"TMEM44",4561
"RUBCN",8613
"AMT",4561
"TCTA",2747
"NICN1",2929
"UCN2",1481
"VPRBP",6849
"MANF",2111
"AC062028.1",2705
"CCDC39",7695
"STXBP5L",11085
"EAF2",1770
"ILDR1",2953
"TM4SF19",1899
"MUC4",21325
"SLIT2",9712
"EIF2B5",5975
"AHSG",2353
"ECE2",6552
"VWA5B2",5730
"DGKQ",4970
"FIP1L1",5636
"SLC26A1",4293
"LYAR",2319
"CENPC",8613
"EPHA5",9833
"CORIN",10087
"ATP10D",7965
"OCIAD2",2483
"SLC10A4",1790
"SLC10A6",1502
"SCD5",4292
"PLAC8",3853
"ENOPH1",2025
"CABS1",1532
"GC",2381
"TRMT10A",4379
"KLHL8",7354
"SNCA",4014
"PYURF",1361
"TBCK",11112
"CAMK2D",7363
"CISD2",2607
"DDIT4L",2994
"ANK2",18224
"TIFA",4250
"SPATA5",8247
"FABP2",2478
"CCNA2",2798
"METTL14",6862
"USP53",11950
"SETD7",13916
"NAF1",4808
"MARCH1",10421
"SFRP2",2032
"RPS3A",2341
"RNF175",4390
"PDGFC",5593
"CBR4",5110
"GLRA3",9599
"CYP4V2",9807
"ROPN1L",1817
"NDUFS6",1451
"MARCH6",11336
"NKD2",2885
"CDH18",4853
"ADAMTS16",5863
"SRD5A1",7715
"MYO10",13963
"FAM105A",4074
"RPL37",8153
"SKP2",3837
"OSMR",7174
"UGT3A1",8485
"PLK2",4768
"FAM159B",1348
"GZMA",894
"PIK3R1",10767
"HAPLN1",6956
"LHFPL2",7977
"SSBP2",11284
"BHMT",3519
"ANKRD31",6273
"IQGAP2",7904
"CRHBP",2803
"RASA1",5232
"LIX1",4115
"GIN1",4182
"PPIP5K2",17270
"PAM",8846
"BDP1",12436
"GTF2H2",8676
"SLC30A5",5784
"BTF3",2467
"FBXL17",8125
"SPATA9",2811
"TSLP",4282
"TNFAIP8",9591
"FEM1C",5816
"COMMD10",2464
"ATG12",8888
"MEGF10",9007
"ADAMTS19",5408
"YIPF5",3701
"ARHGAP26",13347
"CXCL14",1975
"LECT2",2175
"SLC25A48",4966
"DDX46",9222
"IL9",591
"TIMD4",1555
"RNF145",4614
"C1QTNF2",2414
"GABRA6",3738
"GABRB2",10002
"FBXO38",8722
"SPINK7",1545
"PCYOX1L",6069
"GLRA1",2434
"TNIP1",5793
"G3BP1",12406
"ZNF300",4411
"N4BP3",6080
"NHP2",1510
"RMND5B",7701
"BOD1",2018
"CPLX2",7099
"TENM2",11070
"KCNMB1",6079
"FAM50B",1932
"MYLK4",5806
"FAM217A",3138
"TBC1D7",8300
"FARS2",2351
"GFOD1",10686
"CDKAL1",4602
"PSD2",4513
"LRRTM2",6095
"ZMAT2",1812
"GFRA3",2039
"KLHL3",11854
"DCDC2",4996
"SLC17A4",4633
"HIST1H2BA",384
"KAAG1",1382
"TRIM7",7338
"TRIM41",12803
"HIGD2A",668
"FAM193B",5804
"PLA2G7",2026
"TNFRSF21",3595
"RNF44",5660
"MUT",3749
"RASGEF1C",2961
"DOK3",4821
"ABT1",2949
"PPP1R18",4599
"DAAM2",12955
"PRIM2",4667
"MLIP",7293
"HMGCLL1",4800
"LGSN",5823
"FGD2",10167
"SCUBE3",7356
"ANO7",5695
"CRIP3",2453
"TTBK1",7503
"TCTE1",3067
"RPL7L1",7809
"NFKBIE",2581
"CYP39A1",3111
"TPBG",6904
"IRAK1BP1",7542
"PHIP",13252
"PRSS35",2440
"MMS22L",21793
"FAXC",11662
"GABRR1",3778
"PNRC1",2992
"PM20D2",4708
"RARS2",2545
"SCML4",7116
"TBC1D32",6912
"CLVS2",11485
"GPR6",1945
"RNF217",12779
"RSPO3",3179
"ARHGAP18",4640
"TAAR2",1217
"TAAR6",1038
"TAAR8",1029
"ABRACL",1200
"TAAR1",1020
"SLC18B1",2444
"MTFR2",2450
"SLC2A12",4468
"SHPRH",17637
"AIG1",6016
"DYNLT1",2949
"TIAM2",11532
"TMEM181",5390
"PNLDC1",2206
"WTAP",5830
"ZMYM4",7647
"VIP",1584
"ARMT1",2819
"SLC22A3",3348
"LINC01558",2146
"VWDE",6490
"GNA12",6120
"C7orf50",4961
"SDK1",12062
"CCZ1B",7316
"C7orf26",2728
"RBAK",6960
"CREB5",11674
"FERD3L",640
"EGFR",12961
"LINC00525",1188
"CDCA5",3925
"IGFBP3",4571
"PURB",9069
"IGFBP1",1653
"SSC4D",2819
"MDH2",3641
"POMZP3",1861
"GBAS",5651
"CCT6A",3901
"PSPH",2762
"TRIM50",2490
"ZNF92",3512
"ATXN7L1",8295
"TMEM168",7995
"ASB15",4879
"C7orf43",3255
"SLC12A9",8894
"GIGYF1",6709
"TRIM4",4891
"MEPCE",3420
"ZAN",8841
"TMEM209",4759
"AGBL3",7307
"STRA8",993
"ZC3HAV1L",1753
"TMEM140",2313
"TLK2",8563
"EPHA1",4733
"NOM1",7788
"CNPY1",2473
"NCAPG2",6988
"ASB10",2375
"NLGN4X",7441
"SHROOM2",8191
"RAB19",997
"LUC7L2",6316
"DENND2A",5148
"TMEM27",1578
"SH3KBP1",5780
"TMEM47",4054
"LANCL3",10298
"SYTL5",4791
"CASK",10529
"KDM6A",7139
"SPIN2A",2889
"MSN",5971
"AKAP4",3042
"CCNB3",5408
"HDAC8",5379
"SLC16A2",4161
"CXorf36",6720
"ZNF157",2318
"ZNF182",3587
"CHST7",2289
"KRBOX4",4120
"NDUFB11",1418
"ZNF41",4784
"RAB41",1344
"ZMYM3",6916
"TAF1",10860
"GPR174",1258
"NONO",5292
"CCDC120",5318
"LPAR4",3113
"EBP",2409
"AWAT2",2453
"OGT",9812
"SNX12",2595
"ITGB1BP2",2201
"IL2RG",2760
"ACRC",3621
"ZNF711",5004
"CPXCR1",1630
"DIAPH2",9550
"NXF3",3526
"RIPPLY1",1190
"PRPS1",2280
"CXorf57",4853
"FRMPD3",9158
"HTR2C",4842
"DOCK11",6721
"IGSF1",7051
"ARHGAP36",3173
"GPC3",2711
"GPR119",1008
"RBMX",5882
"MCPH1",9775
"MFHAS1",6883
"FBXO25",11438
"FATE1",1072
"MAGEA4",3081
"NSDHL",1996
"ZNF185",4812
"CETN2",1928
"RPL10",4825
"CSGALNACT1",6580
"ATP6V1B2",7816
"CCDC25",4415
"HMBOX1",6634
"CHRNB3",2587
"CHRNA6",2596
"GNRH1",1762
"BIN3",5072
"DOK2",2211
"SLC25A37",8147
"CHMP7",4698
"DOCK5",15960
"STAR",3767
"PROSC",3428
"ERLIN2",9464
"SNTG1",5099
"PXDNL",5238
"ST18",14396
"RGS20",3192
"TACC1",12609
"GOLGA7",2474
"PLPP5",4102
"GINS4",5475
"WHSC1L1",15252
"DNAJC5B",2937
"CRH",1543
"TRIM55",3081
"ADHFE1",3750
"MRPS28",1817
"PMP2",3608
"LACTB2",1931
"PRDM14",2443
"TERF1",8831
"RPL7",2907
"SLC26A7",6273
"PSKH2",1662
"ATP6V0D2",3010
"SYBU",7024
"DPYS",3818
"MTDH",6391
"LRP12",9777
"EBAG9",3681
"RSPO2",4115
"POLR2K",1711
"MAL2",3430
"EIF3H",6434
"UTP23",5252
"NDUFB9",2629
"TATDN1",4778
"FAM83A",6317
"GSDMC",2934
"FAM135B",13625
"TTTY7",1466
"TTTY7B",1466
"ZNF7",10296
"ARHGAP39",4888
"SLC39A4",5033
"NAPRT",3079
"VLDLR",9339
"AK3",4483
"UHRF2",9919
"NFIB",11059
"CER1",1215
"PLIN2",5086
"IFNA5",987
"HAUS6",7932
"CDKN2B",4058
"IFNA16",939
"CDKN2A",4329
"C9orf72",6062
"IFNK",1140
"ZCCHC7",3992
"FBXO10",5997
"SIGMAR1",2196
"CBWD5",12708
"CEP78",14355
"NTRK2",20363
"IDNK",1814
"SHC3",9929
"AUH",2258
"MFSD14B",3428
"C9orf3",10742
"PLPPR1",3669
"OR13C4",957
"ZNF462",12259
"INIP",4423
"UGCG",4615
"ACTL7B",2379
"SNX30",11578
"STOM",3198
"GSN",11097
"MRRF",11041
"NR6A1",7124
"CRB2",6349
"OR5C1",963
"ALAD",4983
"ASTN2",8290
"WDR31",4933
"POLE3",2604
"SURF4",3446
"GBGT1",3713
"SURF1",1761
"SURF2",1008
"SURF6",4626
"MED22",7224
"REXO4",2654
"RPL7A",2242
"GTF3C5",3592
"ASB6",4622
"PTGES2",3039
"NTMT1",3029
"CIZ1",6993
"SLC25A25",4936
"SH3GLB2",6814
"FAM73B",6302
"PTGES",1896
"LCN2",1598
"LRSAM1",4365
"HMCN2",20363
"GPR107",9139
"C9orf142",1367
"IDI2",1359
"INPP5E",3394
"LCN9",1105
"SEC16A",9975
"DPH7",4475
"NOTCH1",9880
"CACNA1B",9897
"NACC2",7212
"PROSER2",3663
"USP6NL",14202
"COMMD3",3317
"MSRB2",2052
"PDSS1",1955
"FAM171A1",3955
"FAM188A",4094
"SLC39A12",2808
"TMEM236",5464
"RSU1",4191
"ST8SIA6",2627
"PARD3",6513
"ANKRD30A",5015
"ZEB1",8650
"FAM13C",6753
"NRBF2",1901
"A1CF",9603
"CDHR1",7633
"LRIT1",2228
"RGR",4256
"POLR3A",8917
"HERC4",15847
"C10orf11",6560
"CAMK2G",6780
"ADIRF",998
"GLUD1",3519
"ANKRD1",1979
"HTR7",3131
"RPP30",4653
"FRA10AC1",8142
"ADD3",6541
"HABP2",3657
"VAX1",5788
"DNAJB12",5649
"EIF4EBP2",7257
"NPFFR1",8921
"PLEKHS1",5402
"TCF7L2",4935
"MKI67",12807
"CYP17A1",3386
"INA",3231
"FUOM",1284
"LRRC27",9910
"MTG1",4095
"NKX6-2",2675
"PAOX",2277
"GSTO1",1691
"TAF5",3268
"PPRC1",6095
"ITPRIP",7026
"CNNM2",16324
"PDCD11",7382
"ADAM12",9860
"RGS10",1252
"BTBD10",3495
"ADM",2718
"GAS2",3529
"SLC5A12",7544
"LIN7C",4688
"LRRC4C",5356
"IMMP1L",2854
"SAA4",727
"PGAP2",3781
"TUT1",4082
"SCGB1A1",582
"SYT8",4704
"ZNF214",2949
"ZNF215",4025
"HSD17B12",8600
"APIP",5337
"PAMR1",3863
"DGKZ",10787
"EIF3M",7428
"TNKS1BP1",7149
"GLYAT",3114
"SERPING1",3603
"OR5F1",945
"SSRP1",6323
"SLC43A1",3532
"PTPRJ",9620
"C11orf49",6693
"ARFGAP2",5918
"CELF1",10441
"C11orf73",3421
"CCDC81",4544
"SESN3",10573
"ENDOD1",4687
"CCDC82",6850
"KLHL35",5041
"TENM4",16332
"SERPINH1",4914
"CAPN5",6166
"INTS4",6074
"PAK1",6299
"RPS3",5894
"ZC3H12C",9719
"TTC12",5302
"NCAM1",12737
"DRD2",4098
"C11orf52",1800
"HTR3B",2314
"NPAT",7534
"ATM",22317
"AASDHPPT",6183
"GLB1L2",7280
"SLX4IP",6492
"LAMTOR1",2778
"P4HA3",4009
"GRIK4",7459
"ST14",4350
"HYOU1",7694
"GGTLC1",1279
"ADAM33",5834
"SLC22A8",8531
"CSRP2BP",4251
"TKFC",8215
"MTA2",4236
"TMEM138",6348
"FADS1",10230
"TMC2",4935
"ROM1",2495
"EML3",5490
"INCENP",4473
"ZP1",2436
"OOSP2",1897
"MS4A3",2095
"PLCH2",10781
"CPSF7",6036
"MS4A2",4453
"B3GAT3",2428
"EI24",3558
"CCDC15",4823
"CHEK1",6558
"FEZ1",5937
"ESAM",2920
"KIRREL3",6599
"MPZL2",4753
"SCN2B",5826
"SIDT2",9061
"TMEM25",5529
"TAGLN",3917
"JPH2",5943
"DUSP15",3791
"COMMD7",2584
"C20orf144",2442
"KIAA1755",8083
"SPATA25",757
"OCSTAMP",2043
"DSN1",2739
"SOGA1",15128
"CNBD2",5005
"SPINT4",512
"CDH22",4929
"LINC00266-1",1438
"LSM14B",3381
"YTHDF1",3301
"CABLES2",3785
"ORAOV1",7872
"GPHA2",926
"SLC22A9",2362
"TRPT1",2210
"NUDT22",3721
"FERMT3",3066
"PLCB3",4964
"MRPL49",3080
"CDC42EP2",2224
"FAU",1846
"TM7SF2",3408
"VPS51",4878
"TBX6",3137
"PPP4C",2734
"ALDOA",6153
"FAM57B",4920
"DOC2A",6426
"HIRIP3",3931
"TAOK2",9058
"TMEM219",2428
"HMGA2",15403
"MMP3",2048
"CNKSR2",7160
"CNTN5",9103
"KLRF1",1260
"CLEC1A",3169
"MKX",4106
"MPP7",6167
"CCDC7",3302
"ITGB1",6011
"FXYD4",827
"TRIM48",1445
"OR8K1",960
"OR5M9",933
"PCDH15",15357
"CTF1",1664
"CWC15",2758
"FCGR1A",2998
"ARID5B",8164
"KLHL1",4149
"CDH8",13529
"DCUN1D2",4346
"TMCO3",10407
"TMEM218",5424
"TIRAP",3591
"N6AMT2",1339
"LATS2",5578
"SAP18",3396
"ADGRL3",13998
"KIAA1328",11127
"FAM124A",6702
"MIA2",2940
"CTAGE5",7669
"HNMT",4756
"LYPD1",2412
"LYPD6B",3771
"PDCD4",4547
"ADRA2A",3745
"GPM6A",7040
"WDR17",7808
"SPATA4",2464
"VEGFC",2420
"CCDC102B",5807
"CD226",13638
"CNDP1",7177
"FSIP1",2951
"DLG2",16089
"CCDC83",2359
"RGS18",2806
"PRSS23",11725
"MTMR12",5545
"PPP1R1C",4887
"C11orf53",1205
"CCT5",5839
"FAM173B",2462
"DOCK1",8142
"DIXDC1",8509
"DLAT",4831
"PIH1D2",2474
"C11orf57",5755
"TIMM8B",1166
"IL18",2628
"TEX12",1155
"PTS",3130
"PIP4K2A",5088
"C2orf50",2938
"FREM2",16223
"FOXO1",5811
"CRIM1",7122
"SEC24D",9920
"ABCB9",13291
"RILPL2",6141
"DHX37",6618
"UBC",3898
"ITPR1",12895
"TKTL2",2654
"PRSS53",5501
"SLC7A11",9645
"NOCT",2504
"ENKUR",4076
"GPR158",7726
"LYZL2",818
"CACNA2D4",7639
"DCP1B",4609
"CACNA1C",19103
"KCNA6",4237
"THRB",8709
"NGLY1",8326
"OXSM",2486
"UEVLD",5515
"TMEM86A",4243
"C12orf45",1424
"TMEM263",4768
"BTBD11",7924
"UBE3B",12453
"ANK3",25614
"IPMK",6133
"RAD9B",3178
"PLBD2",5260
"DLG5",10271
"MAT1A",3690
"SLC2A13",10027
"GXYLT1",7497
"TWF1",3932
"DIP2C",8563
"EIF4E",14067
"MAGI1",11649
"TEX30",2154
"CSNK1G3",5000
"SRFBP1",3111
"AKAP6",19748
"NPAS3",9241
"FAM177A1",8385
"MBIP",3468
"MIPOL1",20250
"EXT2",5286
"TMEM18",5044
"ALLC",2542
"KCTD14",1917
"THRSP",1174
"NDUFC2",2652
"ME3",3838
"MSGN1",606
"ADAMTS12",9778
"NUBPL",7590
"NEK7",5485
"ATP6V1G3",728
"FER",13614
"VIPAS39",3695
"ANKRD50",8794
"UPF2",5906
"CDC123",2404
"SCLT1",8292
"CCDC3",3683
"C4orf33",7015
"FRMD4A",13328
"SLC25A31",1841
"PTPRO",7519
"EPS8",6200
"ACAD8",7174
"THYN1",2119
"VPS26B",6483
"NCAPD3",9114
"VTI1A",8408
"QDPR",3059
"FAM160B1",6216
"ANO4",4997
"TEX9",8290
"QTRTD1",8054
"DRD3",2101
"MMAA",7677
"ZNF827",8433
"POU4F2",3144
"EDNRA",4238
"NR3C2",6607
"AKR1C2",6703
"DPYSL4",3176
"VENTX",2911
"ADAM8",4780
"ITIH2",3378
"KIN",6844
"PIGF",4978
"ANKAR",5758
"INPP1",3676
"MFSD6",6031
"RNF144A",6473
"ASAP2",7248
"ADAM17",5491
"FLI1",8172
"KCNJ1",4637
"TMEM45B",3027
"WWC2",9966
"CENPU",2953
"ACSL1",6284
"SLC25A4",4844
"AMN1",3195
"BICD1",12868
"SAV1",5630
"CCDC122",5403
"SERP2",1927
"NBAS",8948
"ZNF385D",13621
"TDO2",5264
"GUF1",4454
"SLC35F4",4240
"GABRA2",11930
"SACS",15909
"CCDC175",3245
"PABPC3",3387
"CENPJ",5812
"FBXO4",3014
"C5orf28",3158
"CCL28",4524
"PARP8",10056
"GFRA1",9678
"CACUL1",12406
"DST",42341
"BEND6",5588
"TIAL1",7355
"BAG3",2747
"GLT1D1",3478
"TMEM132D",7094
"RBM46",4027
"SCHIP1",7645
"MCHR2",2392
"KCNE4",4124
"AP1S3",4284
"RABGAP1L",16071
"CCDC74B",4487
"TMEM56",7402
"MZT2B",1815
"TUBA3E",1542
"ASTN1",9201
"CFC1B",1669
"FAM168B",5435
"PTPN14",18756
"MGAT5",8578
"TMEM163",6804
"GPATCH11",4040
"HSPB8",2860
"GEMIN6",4361
"TMEM178A",2470
"POU4F1",4547
"RNF219",3529
"CYSLTR2",5372
"GRID2",7508
"ARL11",3826
"RIT2",1425
"SETBP1",11151
"ARL14EP",5465
"EPG5",13675
"PSTPIP2",4120
"ATP5A1",10908
"HAUS1",2165
"C18orf25",9576
"SPC25",1841
"G6PC2",3125
"PDK1",14883
"PTH",953
"PDE3B",11707
"TCF7L1",4414
"TGOLN2",7081
"SH2D6",3858
"KCNK13",2522
"UHMK1",9246
"ATG10",5449
"POC5",3448
"SPOCK1",6222
"FAM151B",3109
"TADA1",2963
"GUCY1A2",16361
"CWF19L2",3581
"JMY",9042
"HOMER1",6154
"XRCC4",2676
"BOLL",4004
"ZNF547",3568
"ZNF773",8073
"ZNF776",5484
"ZNF256",2176
"SUV39H2",3565
"DCLRE1C",6326
"OLAH",2364
"RPP38",1930
"NMT2",4700
"ZSCAN1",2389
"ZNF837",2076
"USP12",5195
"CCDC50",9202
"CAMK4",13910
"TRIM36",6113
"ZFP36L2",3696
"PAN3",6352
"PLEKHH2",9835
"PFKM",7284
"TMEM123",4647
"GRIA4",10083
"IGSF10",11727
"SPEF2",14887
"SPARCL1",3477
"DSPP",4373
"DMP1",2682
"MEPE",2477
"MBNL1",9989
"CAPSL",1135
"NADK2",4885
"GPD1L",4802
"GJA1",3037
"CCNO",1809
"DDX4",3829
"CLEC4F",2475
"SLC30A6",5410
"PELO",4349
"RASGRP3",11118
"SAR1B",10963
"CATSPER3",1581
"GPR180",8822
"TCTEX1D1",3100
"WDR78",6704
"ANKRD22",1733
"FARP1",32419
"IFIT5",4015
"SLC16A12",4835
"PANK1",7638
"PRDM8",4588
"BMP3",5734
"HNRNPDL",5476
"HHEX",2525
"UTRN",14604
"GRM1",7272
"PTPRK",9000
"GGPS1",3809
"CNTNAP4",6482
"ZNF117",10691
"PART1",9752
"RAB3C",9656
"LMNTD1",3083
"MARVELD2",4898
"RAD17",4159
"MED21",3224
"PLOD2",7646
"STK32B",5324
"NRSN1",4185
"JAKMIP1",3673
"ZIC1",6806
"ADGRA3",9250
"CPB1",5703
"SREK1IP1",7537
"LGI2",6428
"CWC27",3740
"MR1",9348
"SRP19",3598
"CENPH",2244
"CDYL",4531
"CARHSP1",5577
"TEKT5",1775
"BANK1",6144
"TXNDC11",4292
"DAB2",7717
"ACMSD",2785
"ACOXL",5747
"BCL2L11",6658
"ANAPC1",13327
"CAST",12448
"SCOC",6294
"CLGN",3127
"CETN3",3106
"SMARCA5",8385
"SYCP2L",3962
"BMP6",2780
"RGPD3",5818
"RASSF3",3705
"HNRNPU",8488
"RANBP2",12302
"AHCTF1",9609
"MERTK",4700
"TMEM87B",5256
"OR14K1",945
"PTPRR",5142
"NR4A2",3967
"CCDC148",3790
"PLA2R1",9805
"RBMS1",11765
"SCN3A",9807
"FEZF2",2193
"CD96",5762
"SLC25A27",3288
"ADGRF1",12401
"ADGRF4",3391
"FRMD1",5788
"FAM49B",9131
"ASAP1",8280
"TRAPPC8",9214
"FAM81B",2495
"LINC00467",4448
"INO80C",5085
"LPCAT1",6494
"PLEKHG4B",12203
"NMRAL1",3541
"UBALD1",3619
"C16orf89",2067
"TMEM251",1365
"ING1",6388
"TEX29",930
"SPACA7",1114
"ADPRHL1",10924
"CMTM7",3751
"FBXL2",7664
"UBP1",9760
"RMND5A",6804
"CD8A",3634
"RPIA",1848
"GOLGA8F",5663
"PTPRD",11045
"LURAP1L",2132
"CNKSR3",22895
"GTF2E1",3370
"CFDP1",3317
"TGIF2LX",1002
"ZDHHC7",3947
"FAM92B",1904
"C7orf31",3837
"TMPRSS11D",3294
"JAZF1",4020
"CMIP",12715
"SPHKAP",7009
"KCNJ16",6340
"PID1",3364
"TRIP12",12594
"FBXO36",3945
"CEBPG",4411
"KCTD15",6388
"ZNF599",6796
"MCOLN2",3442
"LGI4",4532
"DDAH1",4572
"SREK1",18240
"CHD1",10437
"ANKFN1",6923
"DGKE",10933
"HS2ST1",7429
"MSI2",21479
"CACNA2D1",9010
"ZUFSP",2656
"HS3ST3A1",2628
"GDPD1",2970
"NUS1",4676
"SEMA3D",8062
"PPP2R5E",9188
"ASB17",1107
"GRAP",3107
"SLC5A10",6451
"AK5",6919
"CABYR",3518
"IMPACT",4918
"ANKRD29",6391
"SDHAF4",1440
"CHST9",11522
"THY1",5925
"DNAAF1",7783
"C16orf74",2181
"TBCEL",7020
"JPH3",5941
"ANKH",10865
"OTULIN",8614
"UBASH3B",9011
"ROBO4",7033
"ROBO3",7026
"PANX3",1667
"TBRG1",6627
"NRGN",1309
"FAM134B",4568
"CDH12",5940
"GPR15",1252
"TOMM70A",5387
"ABI3BP",10978
"ANGPT1",7128
"PITPNC1",7819
"CC2D1B",7495
"CERS3",5130
"PRKCA",11152
"LRRK1",17600
"CEP112",7849
"GAL3ST2",1370
"ABCA9",9139
"ABCA6",14151
"ABCA10",8405
"ABCA5",13158
"ENPP3",3885
"C4orf19",2770
"UCHL1",2282
"MIA3",10171
"DISP1",5382
"TNIK",8523
"FAM167A",5033
"NEIL2",3367
"PGM5",7426
"WNT3A",2932
"OBSCN",32289
"LONRF1",5685
"TRIM11",8493
"ENAH",15044
"PPP1R3A",4679
"CCSAP",6263
"ASZ1",3065
"SH3RF1",5624
"GBP5",8143
"BUB3",8300
"GPR26",7514
"CCDC173",2236
"MMP21",1919
"C10orf90",5255
"FAM69A",3091
"ATP5G3",6780
"CNTNAP3B",13220
"FAM27C",616
"MAGED4",4809
"SRSF12",4548
"PDLIM3",9117
"SORBS2",16730
"TCEB1",4934
"LY96",607
"PSMA8",1894
"TMSB4Y",1669
"CXADR",6682
"BTG3",2306
"C21orf91",6235
"CHODL",3093
"TMPRSS15",4233
"NCAM2",8380
"L3MBTL4",7959
"PDE1C",13821
"RABGEF1",5646
"MRPL39",1199
"JAM2",5933
"ATP5J",2043
"GABPA",5429
"ADAMTS1",7063
"ADAMTS5",9056
"TSEN2",5667
"SLFN13",9329
"WNT7A",4579
"XPC",4798
"CCDC174",3556
"FGD5",8046
"FLCN",9786
"DPH3",3562
"OXNAD1",6095
"PLCL2",5146
"CXXC1",4319
"SKA1",2950
"PPP4R1",8131
"APCDD1",5943
"PIEZO2",14796
"MPPE1",7630
"USP43",5068
"RAB6B",6005
"EME1",3294
"EPHB1",6956
"ACSS1",8691
"ANKRD40",4849
"ZNF18",3012
"CA10",4450
"VOPP1",5364
"SEPT14",3905
"APOOL",6548
"DKK2",4319
"CYP2U1",6096
"RSPH10B",4993
"FBXL18",5088
"CNTNAP5",5446
"PROM2",6063
"AK9",10098
"ODF1",1042
"KLF10",4003
"PTPRN2",4833
"AZIN1",6426
"ATP6V1C1",5851
"TMEM55A",3066
"OTUD6B",3977
"CDK19",7492
"GTF3C6",1067
"TTC39B",12208
"AGPAT5",4684
"MMS19",5849
"OR4K1",1076
"PI4K2A",4189
"MARVELD1",3379
"ZFYVE27",3899
"GOLGA7B",6458
"GPR78",8362
"TRMT44",7724
"SLC25A28",1755
"HSPA13",4194
"SAMSN1",3169
"USP25",7823
"GRAMD3",5051
"ZCCHC10",2559
"C16orf87",7443
"MOV10",6509
"RHOC",4028
"PPM1J",2874
"DBI",2509
"SLC16A1",5312
"HEATR3",4183
"TRIM74",1471
"NIFK",2447
"OXA1L",4497
"SLC7A7",5131
"MAGEC1",4270
"LARP1",8492
"CNOT8",3930
"GRIA1",7636
"LRGUK",3249
"SETD9",2711
"MIER3",5763
"NUP205",7619
"ZKSCAN2",7970
"C9orf85",4973
"XAGE2",618
"PIK3AP1",5691
"RBM45",4784
"C10orf12",4929
"TTN",118976
"VSIG4",2192
"PDIA4",3277
"KDM8",4039
"PDZD9",1331
"OTOA",7209
"KCTD18",4915
"FAM126B",12810
"ALS2CR12",2635
"ALS2CR11",6815
"TMEM237",7647
"FZD7",3859
"SPAG17",9552
"DEPTOR",2622
"FMN2",9691
"RNF20",4694
"CYLC2",2276
"PPARGC1B",12889
"ELMO1",9570
"SLC26A2",8606
"LSM11",6584
"MED7",2913
"SAXO1",2365
"RRAGA",1589
"SLC24A2",10749
"TRIM42",2539
"PXYLP1",7052
"ADCY8",5961
"RASA2",5993
